method,mean_predicted,fraction_positive
raw,0.054256,0.010893
raw,0.102348,0.017724
raw,0.145371,0.029756
raw,0.191419,0.030894
raw,0.24454,0.044546
raw,0.307745,0.05187
raw,0.383415,0.074309
raw,0.475033,0.10878
raw,0.590565,0.152195
raw,0.755084,0.286295
calibrated,0.011608,0.010994
calibrated,0.01883,0.020545
calibrated,0.025563,0.02757
calibrated,0.0347,0.033718
calibrated,0.049455,0.045492
calibrated,0.057778,0.054521
calibrated,0.084336,0.084563
calibrated,0.113615,0.114514
calibrated,0.155705,0.156392
calibrated,0.280978,0.290383
