feature,mean_abs_shap,rank
EXT_SOURCE_3,0.3809859403025114,1
EXT_SOURCE_2,0.34467880572669585,2
EXT_SOURCE_1,0.20030214862106116,3
AMT_GOODS_PRICE,0.18887121362626255,4
AMT_CREDIT,0.1675281006591554,5
DAYS_EMPLOYED,0.12087143463158075,6
DAYS_BIRTH,0.11445362863232422,7
AMT_ANNUITY,0.08975388467821172,8
NAME_EDUCATION_TYPE_Higher education,0.08329831110958337,9
CODE_GENDER_F,0.0749134220782342,10
DAYS_ID_PUBLISH,0.07352329923800502,11
NAME_FAMILY_STATUS_Married,0.05598883047071586,12
DAYS_LAST_PHONE_CHANGE,0.05112388245982155,13
AMT_REQ_CREDIT_BUREAU_QRT,0.05058613989461889,14
FLAG_OWN_CAR_N,0.04898997484669607,15
NAME_CONTRACT_TYPE_Cash loans,0.04803995645646879,16
OWN_CAR_AGE,0.046963301640338476,17
FLAG_DOCUMENT_3,0.042537054077393784,18
CODE_GENDER_M,0.03962243525215735,19
DAYS_REGISTRATION,0.03823123985729847,20
REGION_POPULATION_RELATIVE,0.038223259394905236,21
AMT_REQ_CREDIT_BUREAU_YEAR,0.035745726815823206,22
REGION_RATING_CLIENT_W_CITY,0.029570989927043035,23
HOUR_APPR_PROCESS_START,0.028759568461968244,24
NAME_INCOME_TYPE_Working,0.027372500781542658,25
AMT_INCOME_TOTAL,0.02569989899559897,26
NAME_EDUCATION_TYPE_Secondary / secondary special,0.021921538091994368,27
FLAG_WORK_PHONE,0.021699440178055696,28
DEF_60_CNT_SOCIAL_CIRCLE,0.019710451432880124,29
FLAG_PHONE,0.017571056653064004,30
FLAG_OWN_CAR_Y,0.017141836710622166,31
TOTALAREA_MODE,0.01684600829675686,32
OCCUPATION_TYPE_Accountants,0.015378235574587788,33
WALLSMATERIAL_MODE_Panel,0.014632411934085019,34
REG_CITY_NOT_LIVE_CITY,0.014220993213508133,35
BASEMENTAREA_AVG,0.012707423016875942,36
OCCUPATION_TYPE_Core staff,0.012610797088887672,37
ORGANIZATION_TYPE_Self-employed,0.012530566068082932,38
DEF_30_CNT_SOCIAL_CIRCLE,0.012030645577102405,39
YEARS_BEGINEXPLUATATION_MODE,0.011904762998239346,40
FLAG_DOCUMENT_16,0.011481264125864109,41
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.011350300145341871,42
WEEKDAY_APPR_PROCESS_START_MONDAY,0.011115988507049613,43
ORGANIZATION_TYPE_Industry: type 9,0.01000995516704722,44
ORGANIZATION_TYPE_Military,0.00997092884631181,45
NONLIVINGAREA_MODE,0.009852541506265206,46
ORGANIZATION_TYPE_Business Entity Type 3,0.009720827122753914,47
APARTMENTS_AVG,0.009572418410732086,48
LANDAREA_AVG,0.009513964841389066,49
NAME_CONTRACT_TYPE_Revolving loans,0.0094308528814899,50
AMT_REQ_CREDIT_BUREAU_MON,0.008747855390502407,51
BASEMENTAREA_MEDI,0.008711122571668764,52
BASEMENTAREA_MODE,0.008689965464205827,53
OBS_60_CNT_SOCIAL_CIRCLE,0.008639816569073547,54
CNT_CHILDREN,0.008438418766711772,55
APARTMENTS_MODE,0.008429210301783575,56
YEARS_BEGINEXPLUATATION_MEDI,0.00842431360475526,57
YEARS_BEGINEXPLUATATION_AVG,0.008300136408471008,58
NONLIVINGAREA_AVG,0.008056300082981931,59
ORGANIZATION_TYPE_School,0.007920117059197521,60
NONLIVINGAREA_MEDI,0.007726280205340835,61
NAME_INCOME_TYPE_Pensioner,0.007598291213287385,62
LIVINGAREA_MEDI,0.007332283855981791,63
OCCUPATION_TYPE_Drivers,0.007283334035847747,64
LIVINGAPARTMENTS_MODE,0.006971908639688241,65
FLAG_OWN_REALTY_N,0.006945549048276018,66
LIVINGAREA_MODE,0.006944927434855264,67
FLAG_DOCUMENT_18,0.006892510982174143,68
LIVINGAREA_AVG,0.00685599493715293,69
ENTRANCES_AVG,0.0068179939539096705,70
YEARS_BUILD_MODE,0.006716543857067289,71
LANDAREA_MODE,0.006675838668852675,72
OBS_30_CNT_SOCIAL_CIRCLE,0.006572377042204502,73
APARTMENTS_MEDI,0.00653484588206885,74
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.00652716526687038,75
COMMONAREA_AVG,0.006427612561232368,76
COMMONAREA_MODE,0.006216420351526355,77
ELEVATORS_AVG,0.006135185731728221,78
NAME_HOUSING_TYPE_House / apartment,0.006116581429018576,79
OCCUPATION_TYPE_Laborers,0.006026913044273258,80
COMMONAREA_MEDI,0.005921337425406804,81
LANDAREA_MEDI,0.00589080420361208,82
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0057067827677524914,83
FLOORSMAX_AVG,0.00567248894445087,84
CNT_FAM_MEMBERS,0.005475222476511329,85
NAME_FAMILY_STATUS_Single / not married,0.005299782400059589,86
NAME_INCOME_TYPE_State servant,0.0052301429979762495,87
LIVINGAPARTMENTS_AVG,0.00522149579126664,88
YEARS_BUILD_MEDI,0.005219084003363362,89
"WALLSMATERIAL_MODE_Stone, brick",0.005133575806485734,90
FLOORSMAX_MEDI,0.005112915351417365,91
FLAG_DOCUMENT_13,0.004772074450165107,92
ORGANIZATION_TYPE_Police,0.004654643024762221,93
NAME_TYPE_SUITE_Unaccompanied,0.004435787957582954,94
ENTRANCES_MODE,0.004415308393482664,95
ENTRANCES_MEDI,0.004389310189566232,96
ORGANIZATION_TYPE_Trade: type 2,0.004300443314087706,97
LIVINGAPARTMENTS_MEDI,0.0042627617288937495,98
OCCUPATION_TYPE_nan,0.0042159708399735684,99
ORGANIZATION_TYPE_Bank,0.004035032529875465,100
AMT_REQ_CREDIT_BUREAU_WEEK,0.004002789738305135,101
NAME_HOUSING_TYPE_Office apartment,0.003968605727044948,102
REGION_RATING_CLIENT,0.003947327012014641,103
YEARS_BUILD_AVG,0.003931532800699695,104
OCCUPATION_TYPE_High skill tech staff,0.0037984416569017783,105
NONLIVINGAPARTMENTS_AVG,0.003736367014765198,106
NAME_INCOME_TYPE_Commercial associate,0.003527141830950799,107
ORGANIZATION_TYPE_Medicine,0.003420942325781576,108
FLOORSMIN_MEDI,0.0030636607362868984,109
ELEVATORS_MEDI,0.0029932482646259483,110
NONLIVINGAPARTMENTS_MEDI,0.0029159977949107492,111
FLAG_DOCUMENT_8,0.002859368419759018,112
NAME_EDUCATION_TYPE_Lower secondary,0.002793211254230702,113
ORGANIZATION_TYPE_Construction,0.0025053425355966528,114
"NAME_TYPE_SUITE_Spouse, partner",0.0023827221217415195,115
EMERGENCYSTATE_MODE_nan,0.002321587376323036,116
EMERGENCYSTATE_MODE_No,0.002315205862088962,117
REG_CITY_NOT_WORK_CITY,0.002184653723242576,118
FLOORSMAX_MODE,0.002126848170493137,119
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0020903326796941476,120
FLOORSMIN_AVG,0.002058130963502291,121
FLAG_DOCUMENT_11,0.00205747863723568,122
OCCUPATION_TYPE_Sales staff,0.0020392843865027696,123
FLAG_DOCUMENT_15,0.002026764975032118,124
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.001985722726064189,125
NAME_TYPE_SUITE_Family,0.0019527800711209669,126
NAME_EDUCATION_TYPE_Incomplete higher,0.0019266569472057575,127
NAME_HOUSING_TYPE_Municipal apartment,0.0018496932832060154,128
LIVE_CITY_NOT_WORK_CITY,0.0018455018431756465,129
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0017936564194820299,130
NAME_FAMILY_STATUS_Civil marriage,0.0017516053146930054,131
NAME_FAMILY_STATUS_Widow,0.0017068101020566572,132
ORGANIZATION_TYPE_Business Entity Type 1,0.001649703275209455,133
ORGANIZATION_TYPE_Kindergarten,0.0016473381103850368,134
ORGANIZATION_TYPE_Hotel,0.001620263640670068,135
ORGANIZATION_TYPE_Security Ministries,0.0016161868653408113,136
ORGANIZATION_TYPE_Other,0.001592887935302815,137
NONLIVINGAPARTMENTS_MODE,0.0015676511238174515,138
ORGANIZATION_TYPE_Government,0.0015184001705152218,139
OCCUPATION_TYPE_Managers,0.0014703067353249964,140
FLOORSMIN_MODE,0.0014403633582697917,141
OCCUPATION_TYPE_Medicine staff,0.001438624662304508,142
WALLSMATERIAL_MODE_Block,0.0014046430435976037,143
FLAG_DOCUMENT_14,0.0013463508676439097,144
REG_REGION_NOT_WORK_REGION,0.0013172740403393877,145
ORGANIZATION_TYPE_Transport: type 3,0.0012857185770112022,146
FLAG_EMAIL,0.0012753089432476295,147
FONDKAPREMONT_MODE_reg oper spec account,0.001229638516483083,148
OCCUPATION_TYPE_Low-skill Laborers,0.001217476026004042,149
WALLSMATERIAL_MODE_nan,0.0010993122730139377,150
NAME_HOUSING_TYPE_Rented apartment,0.0010094161770673499,151
REG_REGION_NOT_LIVE_REGION,0.0009616698716815016,152
NAME_HOUSING_TYPE_With parents,0.0009142297125811215,153
NAME_FAMILY_STATUS_Separated,0.0009129541943720012,154
OCCUPATION_TYPE_Security staff,0.0008942088106406357,155
FONDKAPREMONT_MODE_nan,0.0008900011499213212,156
LIVE_REGION_NOT_WORK_REGION,0.0008857308850816777,157
FLAG_DOCUMENT_5,0.000855640746138144,158
ORGANIZATION_TYPE_Trade: type 7,0.0008003862441453988,159
FLAG_OWN_REALTY_Y,0.0007945325125026419,160
ORGANIZATION_TYPE_Industry: type 12,0.0007769549161500285,161
ORGANIZATION_TYPE_Business Entity Type 2,0.000720594888502498,162
FLAG_DOCUMENT_6,0.0007196612268616896,163
FONDKAPREMONT_MODE_not specified,0.0007058509844178379,164
ELEVATORS_MODE,0.000704176399420274,165
HOUSETYPE_MODE_block of flats,0.0006098356740190629,166
ORGANIZATION_TYPE_Transport: type 2,0.0006047311462196607,167
NAME_EDUCATION_TYPE_Academic degree,0.000603396409196895,168
AMT_REQ_CREDIT_BUREAU_DAY,0.0005945045053643088,169
ORGANIZATION_TYPE_Services,0.0005662319852834886,170
ORGANIZATION_TYPE_Industry: type 3,0.0005401745511624802,171
FLAG_CONT_MOBILE,0.0005387623911110285,172
FONDKAPREMONT_MODE_reg oper account,0.0004933769412628782,173
ORGANIZATION_TYPE_Industry: type 7,0.0004868930008332364,174
ORGANIZATION_TYPE_Transport: type 4,0.00047716107849834935,175
ORGANIZATION_TYPE_Telecom,0.0004658095822082575,176
NAME_TYPE_SUITE_nan,0.0004571985008025477,177
OCCUPATION_TYPE_Cleaning staff,0.0004525804292562575,178
ORGANIZATION_TYPE_Trade: type 6,0.0004406635262853836,179
ORGANIZATION_TYPE_Legal Services,0.00043361453582831366,180
HOUSETYPE_MODE_nan,0.0004323315036763636,181
OCCUPATION_TYPE_Cooking staff,0.0004211217472374356,182
ORGANIZATION_TYPE_Postal,0.00041884847854134987,183
NAME_TYPE_SUITE_Children,0.0003631503271990716,184
OCCUPATION_TYPE_Private service staff,0.0003585941690775142,185
ORGANIZATION_TYPE_Realtor,0.00035343916645350955,186
ORGANIZATION_TYPE_XNA,0.00035187358105352485,187
ORGANIZATION_TYPE_Industry: type 5,0.0002973206906900639,188
WALLSMATERIAL_MODE_Others,0.0002938836937768066,189
WALLSMATERIAL_MODE_Monolithic,0.00029358638130250474,190
ORGANIZATION_TYPE_Trade: type 3,0.0002476957134085969,191
FLAG_EMP_PHONE,0.00023566251723240118,192
ORGANIZATION_TYPE_Mobile,0.0002242575228098929,193
ORGANIZATION_TYPE_Restaurant,0.0002131060132349984,194
ORGANIZATION_TYPE_Industry: type 4,0.00019407360799296344,195
WALLSMATERIAL_MODE_Mixed,0.00018974875774072322,196
FONDKAPREMONT_MODE_org spec account,0.00018192602306064338,197
ORGANIZATION_TYPE_Housing,0.00016315861735446028,198
ORGANIZATION_TYPE_University,0.00016029125328113564,199
OCCUPATION_TYPE_Secretaries,0.00013767526355548448,200
ORGANIZATION_TYPE_Trade: type 5,0.00013113251576004955,201
WALLSMATERIAL_MODE_Wooden,0.00011860425733886562,202
HOUSETYPE_MODE_specific housing,0.00011728274933663199,203
ORGANIZATION_TYPE_Industry: type 1,0.00011341045890692776,204
ORGANIZATION_TYPE_Industry: type 11,0.0001123606718456556,205
FLAG_DOCUMENT_17,0.00010448978450098809,206
ORGANIZATION_TYPE_Security,9.915556609843336e-05,207
ORGANIZATION_TYPE_Industry: type 10,9.757217116593201e-05,208
NAME_HOUSING_TYPE_Co-op apartment,9.635472612787677e-05,209
ORGANIZATION_TYPE_Transport: type 1,9.10508592378387e-05,210
ORGANIZATION_TYPE_Agriculture,8.284093591028199e-05,211
NAME_TYPE_SUITE_Other_A,7.574009160645768e-05,212
ORGANIZATION_TYPE_Advertising,7.342778265517218e-05,213
HOUSETYPE_MODE_terraced house,6.776089059678482e-05,214
ORGANIZATION_TYPE_Trade: type 1,5.5835797505956696e-05,215
ORGANIZATION_TYPE_Culture,5.314940471470183e-05,216
FLAG_DOCUMENT_9,4.9642597639202134e-05,217
EMERGENCYSTATE_MODE_Yes,4.705982852235797e-05,218
OCCUPATION_TYPE_HR staff,4.013267156083507e-05,219
ORGANIZATION_TYPE_Trade: type 4,3.399174167252187e-05,220
OCCUPATION_TYPE_Waiters/barmen staff,2.5888701507050017e-05,221
ORGANIZATION_TYPE_Emergency,2.4472044478416168e-05,222
ORGANIZATION_TYPE_Cleaning,1.9588515177420675e-05,223
FLAG_DOCUMENT_20,1.8924345095088092e-05,224
NAME_TYPE_SUITE_Other_B,1.7676583763207466e-05,225
ORGANIZATION_TYPE_Electricity,1.7633374190710463e-05,226
FLAG_DOCUMENT_21,1.1199927301672454e-05,227
ORGANIZATION_TYPE_Insurance,6.426756487985791e-06,228
FLAG_MOBIL,0.0,229
FLAG_DOCUMENT_2,0.0,230
FLAG_DOCUMENT_4,0.0,231
FLAG_DOCUMENT_7,0.0,232
FLAG_DOCUMENT_10,0.0,233
FLAG_DOCUMENT_12,0.0,234
NAME_INCOME_TYPE_Businessman,0.0,235
NAME_TYPE_SUITE_Group of people,0.0,236
CODE_GENDER_XNA,0.0,237
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,238
FLAG_DOCUMENT_19,0.0,239
OCCUPATION_TYPE_IT staff,0.0,240
NAME_INCOME_TYPE_Unemployed,0.0,241
NAME_INCOME_TYPE_Student,0.0,242
OCCUPATION_TYPE_Realty agents,0.0,243
NAME_INCOME_TYPE_Maternity leave,0.0,244
NAME_FAMILY_STATUS_Unknown,0.0,245
ORGANIZATION_TYPE_Religion,0.0,246
ORGANIZATION_TYPE_Industry: type 13,0.0,247
ORGANIZATION_TYPE_Industry: type 2,0.0,248
ORGANIZATION_TYPE_Industry: type 8,0.0,249
ORGANIZATION_TYPE_Industry: type 6,0.0,250
